features,predicted_happiness_score
"[0.30587, 1.01216, 0.11921, 0.00872, 0.76649, 0.09355645689999999, 0.30958937919999996, 0.0364627627, 0.0026671864, 0.2344462963, 1.0244678656, 0.12065959359999999, 0.0088260352, 0.7758105183999999, 0.014211024099999999, 0.0010395112, 0.0913732729, 7.603840000000001e-05, 0.0066837928, 0.5875069201]",5.143883258610398
"[0.54854, 0.81217, 0.21674, 0.11757, 0.47036, 0.3008961316, 0.4455077318, 0.1188905596, 0.0644918478, 0.2580112744, 0.6596201088999999, 0.17602972579999998, 0.09548682689999999, 0.38201228119999997, 0.046976227599999996, 0.025482121799999997, 0.1019458264, 0.013822704899999998, 0.0553002252, 0.2212385296]",5.5850284433011135
"[0.21342, 1.14723, 0.02641, 0.01031, 0.73128, 0.0455480964, 0.24484182659999998, 0.0056364221999999995, 0.0022003602, 0.15606977760000001, 1.3161366729, 0.0302983443, 0.011827941299999999, 0.8389463544, 0.0006974880999999999, 0.0002722871, 0.0193131048, 0.0001062961, 0.0075394968, 0.5347704384]",5.464197353695753
"[0.406, 0.357, 0.132, 0.099, 0.248, 0.164836, 0.14494200000000002, 0.05359200000000001, 0.04019400000000001, 0.100688, 0.12744899999999998, 0.047124, 0.035343, 0.08853599999999999, 0.017424000000000002, 0.013068000000000001, 0.032736, 0.009801, 0.024552, 0.061503999999999996]",3.8739581192886283
"[0.129, 0.557, 0.134, 0.093, 0.292, 0.016641, 0.07185300000000001, 0.017286000000000003, 0.011997, 0.037668, 0.31024900000000005, 0.07463800000000001, 0.05180100000000001, 0.162644, 0.017956000000000003, 0.012462, 0.039128, 0.008649, 0.027156, 0.08526399999999999]",3.9820008544225973
"[0.325707912445068, 1.26074862480164, 0.153074786067009, 0.0738427266478539, 0.638566970825195, 0.1060856442293241, 0.41063580270213246, 0.04985766901786089, 0.02405116034572429, 0.2079863150238449, 1.5894870949392264, 0.19298882602578685, 0.09309711607288522, 0.8050724303116135, 0.02343189012946057, 0.011303459584224861, 0.0977485024485247, 0.005452748278789673, 0.04715352627299298, 0.4077677762288654]",5.869998694477509
"[0.324, 1.148, 0.106, 0.109, 0.686, 0.104976, 0.371952, 0.034344, 0.035316, 0.22226400000000002, 1.3179039999999997, 0.12168799999999999, 0.125132, 0.787528, 0.011236, 0.011554, 0.072716, 0.011881, 0.07477400000000001, 0.47059600000000007]",5.4189617838439545
"[0.447551846504211, 0.737299203872681, 0.301674216985703, 0.130687981843948, 0.653095960617065, 0.20030265530932884, 0.3299796201193031, 0.1350148528546634, 0.058489647590167726, 0.2922943031186089, 0.5436101160312892, 0.22242416001247325, 0.09635614496927025, 0.48152713181542584, 0.09100733319393703, 0.03942519459221479, 0.19702221253567861, 0.017079348598444084, 0.08535179304347877, 0.4265343337743269]",5.479186528713179
"[0.312, 0.885, 0.092, 0.107, 0.553, 0.097344, 0.27612, 0.028704, 0.033384, 0.17253600000000002, 0.7832250000000001, 0.08142, 0.094695, 0.48940500000000003, 0.008464, 0.009844, 0.050876000000000005, 0.011448999999999999, 0.059171, 0.30580900000000005]",4.876993968558434
"[0.654, 1.649, 0.256, 0.171, 0.748, 0.42771600000000004, 1.078446, 0.16742400000000002, 0.11183400000000002, 0.489192, 2.719201, 0.422144, 0.28197900000000004, 1.233452, 0.065536, 0.043776, 0.191488, 0.029241000000000003, 0.12790800000000002, 0.559504]",6.782807406952549
